s,C,kg/m2/s,kW/m2,kW/m2,kW/m2,C,kW/m3,kW/m3,kW/m2
Time,"temp","burn","rad","gauge","con","gas","hrrpuv","qr","U"
 7.2601467E+001, 3.8869707E+002, 3.8840107E-003, 1.0439590E+001, 2.4893122E+001, 5.8782324E-001, 4.8644498E+002, 1.5124451E+003,-6.4552339E+002, 1.1560333E+002
 7.3221354E+001, 4.0464714E+002, 4.5267026E-003, 1.4783072E+001, 3.1786232E+001, 1.1641756E+000, 5.6756364E+002, 1.9812917E+003,-1.0238696E+003, 1.3962891E+002
 7.3820181E+001, 4.3055535E+002, 6.9801270E-003, 2.0869347E+001, 4.1940622E+001, 2.0044796E+000, 6.7147960E+002, 2.8016275E+003,-1.3309103E+003, 1.7908121E+002
 7.4404388E+001, 4.2563272E+002, 7.3124516E-003, 1.9520517E+001, 3.9939512E+001, 1.8320967E+000, 6.5510645E+002, 2.3719105E+003,-1.0681184E+003, 1.7321513E+002
 7.5003415E+001, 4.0392624E+002, 5.6782424E-003, 1.4435133E+001, 3.1431837E+001, 1.0934245E+000, 5.5695620E+002, 1.7080715E+003,-6.8930802E+002, 1.4194128E+002
 7.5603037E+001, 3.9763433E+002, 4.6996400E-003, 1.3931538E+001, 3.0537792E+001, 1.2801161E+000, 5.7308455E+002, 1.8772261E+003,-9.2277074E+002, 1.3458943E+002
 7.6204557E+001, 4.1382153E+002, 6.5593152E-003, 1.8530824E+001, 3.7472464E+001, 1.6377483E+000, 6.2070303E+002, 2.3260918E+003,-1.1198085E+003, 1.6205429E+002
 7.6800963E+001, 3.9843463E+002, 5.3423453E-003, 1.4240675E+001, 3.0873498E+001, 1.1863722E+000, 5.6343772E+002, 1.9611682E+003,-8.1865979E+002, 1.3708990E+002
 7.7416746E+001, 3.9911163E+002, 5.3641221E-003, 1.5029331E+001, 3.1804975E+001, 1.2216860E+000, 5.6625266E+002, 1.9528487E+003,-7.3919886E+002, 1.4153543E+002
 7.8008845E+001, 3.9248330E+002, 4.8169080E-003, 1.3113223E+001, 2.9296555E+001, 1.2837222E+000, 5.6881506E+002, 1.8877985E+003,-7.6352993E+002, 1.3125653E+002
 7.8612493E+001, 4.1692479E+002, 7.5546422E-003, 2.3932483E+001, 4.4430240E+001, 2.2391336E+000, 6.8271775E+002, 2.6447633E+003,-1.3182685E+003, 1.9865497E+002
 7.9209805E+001, 4.5632675E+002, 1.6037562E-002, 4.2054168E+001, 7.1617811E+001, 4.7658730E+000, 9.2521260E+002, 3.9316374E+003,-1.3324603E+003, 3.3779575E+002
 7.9821702E+001, 4.1703109E+002, 9.6878457E-003, 2.4707293E+001, 4.7165994E+001, 3.5307530E+000, 7.8821665E+002, 3.8271444E+003,-1.6330676E+003, 1.9458314E+002
 8.0403997E+001, 4.2431502E+002, 1.1973500E-002, 3.0120707E+001, 5.3400226E+001, 3.1703486E+000, 7.6601054E+002, 2.7679402E+003,-1.5302559E+003, 2.2188357E+002
